0
ï»¿0
"Ã¯Â»Â¿Player,Conference,Receiving School,Transferring School,Position"
"Justin Sambu,Big 12,Baylor,Maine,DL"
"Mike Smith,Big 12,Baylor,Liberty,LB"
"Isaiah Dunson,Big 12,Baylor,Miami,DB"
"Ajani Carter,Big 12,Baylor,Utah State,DB"
"Jack Stone,Big 12,Baylor,Michigan State,K"
"Arlen Harris,Big 12,Iowa State,Stanford,RB"
"Jayden Higgins,Big 12,Iowa State,Eastern Kentucky,WR"
"Tobechi Okoli,Big 12,Iowa State,Auburn,DL"
"Zach Lovett,Big 12,Iowa State,Missouri,LB"
"Mikey Pauley,Big 12,Kansas,Nebraska,QB"
"Dylan McDuffie,Big 12,Kansas,Georgia Tech,RB"
"Max Muehlberger,Big 12,Kansas,Oklahoma State,TE"
"Logan Brown,Big 12,Kansas,Wisconsin,OL"
"Spencer Lovell,Big 12,Kansas,California,OL"
"Austin Booker,Big 12,Kansas,Minnesota,DL"
"Gage Keys,Big 12,Kansas,Minnesota,DL"
"Devin Phillips,Big 12,Kansas,Colorado State,DL"
"Patrick Joyner,Big 12,Kansas,Utah State,DL"
"JB Brown,Big 12,Kansas,Bowling Green,LB"
"Dylan Brooks,Big 12,Kansas,Auburn,LB"
"Damarius McGhee,Big 12,Kansas,LSU,DB"
"Seth Keller,Big 12,Kansas,Texas State,K"
"Charlie Weinrich,Big 12,Kansas,Nebraska,K"
"Jacob Knuth,Big 12,Kansas State,Minnesota,QB"
"Treshaun Ward,Big 12,Kansas State,Florida State,RB"
"Keagan Johnson,Big 12,Kansas State,Iowa,WR"
"Jevon Banks,Big 12,Kansas State,Mississippi State,DL"
"Marques Sigle,Big 12,Kansas State,North Dakota State,DB"
"Tyler Nelome,Big 12,Kansas State,SEMO,DB"
"Emeka Megwa,Big 12,Oklahoma,Washington,RB"
"Andrel Anthony,Big 12,Oklahoma,Michigan,WR"
"Brenen Thompson,Big 12,Oklahoma,Texas,WR"
"Austin Stogner,Big 12,Oklahoma,South Carolina,TE"
"Blake Smith,Big 12,Oklahoma,Texas A&M,TE"
"Hamp Fay,Big 12,Oklahoma,Michigan State,TE"
"Caleb Shaffer,Big 12,Oklahoma,""Miami, Ohio"",OL"
"Troy Everett,Big 12,Oklahoma,Appalachian State,OL"
"Walter Rouse,Big 12,Oklahoma,Stanford,OL"
"Jacob Lacey,Big 12,Oklahoma,Notre Dame,DL"
"Davon Sears,Big 12,Oklahoma,Texas State,DL"
"Phillip Paea,Big 12,Oklahoma,Utah State,DL"
"Rondell Bothroyd,Big 12,Oklahoma,Wake Forest,DL"
"Da'Jon Terry,Big 12,Oklahoma,Tennessee,DL"
"Trace Ford,Big 12,Oklahoma,Oklahoma State,DL"
"Konnor Near,Big 12,Oklahoma,Ferris State,LB"
"Dasan McCullough,Big 12,Oklahoma,Indiana,LB"
"Reggie Pearson,Big 12,Oklahoma,Texas Tech,DB"
"Luke Elzinga,Big 12,Oklahoma,Central Michigan,P"
"Ashton Logan,Big 12,Oklahoma,Colorado,P"
"Alan Bowman,Big 12,Oklahoma State,Michigan,QB"
"Elijah Collins,Big 12,Oklahoma State,Michigan State,RB"
"De'Zhaun Stribling,Big 12,Oklahoma State,Washington State,WR"
"Arland Bruce IV,Big 12,Oklahoma State,Iowa,WR"
