Rk,Year,Conf,OverallW,OverallL,OverallT,OverallPct,ConferenceW,ConferenceL,ConferenceT,ConferencePct,SRS,SOS,AP Pre,AP High,AP Post,Coach(es),Bowl,Notes
95,1928,Big 6,5,3,0,0.625,3,2,0,0.6,-0.65,-3.15,,,,Adrian Lindsey (5-3),,
96,1927,MVIAA,3,3,2,0.5,2,3,0,0.4,2.12,0.24,,,,Adrian Lindsey (3-3-2),,
97,1926,MVIAA,5,2,1,0.688,3,2,1,0.583,4.76,-2.24,,,,Bennie Owen (5-2-1),,
98,1925,MVIAA,4,3,1,0.563,3,3,1,0.5,6.83,3.2,,,,Bennie Owen (4-3-1),,
99,1924,MVIAA,2,5,1,0.313,2,3,1,0.417,-4.95,1.8,,,,Bennie Owen (2-5-1),,
100,1923,MVIAA,3,5,0,0.375,2,4,0,0.333,0.13,1.13,,,,Bennie Owen (3-5),,
101,1922,MVIAA,2,3,3,0.438,1,2,2,0.4,-1.34,3.16,,,,Bennie Owen (2-3-3),,
102,1921,MVIAA,5,3,0,0.625,2,3,0,0.4,8.65,3.27,,,,Bennie Owen (5-3),,
103,1920,MVIAA,6,0,1,0.929,4,0,1,0.9,12.2,-2.09,,,,Bennie Owen (6-0-1),,
104,1919,SWC,5,2,3,0.65,2,1,0,0.667,2.35,-3.55,,,,Bennie Owen (5-2-3),,
105,1918,SWC,6,0,0,1,2,0,0,1,18.86,-2.31,,,,Bennie Owen (6-0),,
106,1917,SWC,6,4,1,0.591,1,1,1,0.5,3.79,-1.94,,,,Bennie Owen (6-4-1),,
107,1916,SWC,6,5,0,0.545,2,1,0,0.667,4.23,-2.4,,,,Bennie Owen (6-5),,
108,1915,SWC,10,0,0,1,3,0,0,1,12.92,-4.68,,,,Bennie Owen (10-0),,
109,1914,Ind,9,1,1,0.864,,,,,11.18,-3.91,,,,Bennie Owen (9-1-1),,
110,1913,Ind,6,2,0,0.75,,,,,7.91,-3.22,,,,Bennie Owen (6-2),,
111,1912,Ind,5,4,0,0.556,,,,,5.27,1.27,,,,Bennie Owen (5-4),,
112,1909,Ind,6,4,0,0.6,,,,,3.84,-1.16,,,,Bennie Owen (6-4),,
113,1905,Ind,7,2,0,0.778,,,,,5.12,-6.32,,,,Bennie Owen (7-2),,
114,1903,Ind,5,4,3,0.542,,,,,-4.84,-7.25,,,,Mark McMahon (5-4-3),,
