Rk,Year,Conf,OverallW,OverallL,OverallT,OverallPct,ConferenceW,ConferenceL,ConferenceT,ConferencePct,SRS,SOS,AP Pre,AP High,AP Post,Coach(es),Bowl,Notes
47,1976,Ind,9,3,0,0.75,,,,,16.62,8.53,11,11,12,Dan Devine (9-3),Gator Bowl-W,
48,1975,Ind,8,3,0,0.727,,,,,14.26,4.62,10,7,,Dan Devine (8-3),,
49,1974,Ind,10,2,0,0.833,,,,,15.77,5.68,3,1,6,Ara Parseghian (10-2),Orange Bowl-W,
50,1973,Ind,11,0,0,1,,,,,25.67,7.4,8,1,1,Ara Parseghian (11-0),Sugar Bowl-W,
51,1972,Ind,8,3,0,0.727,,,,,16.88,8.42,13,7,14,Ara Parseghian (8-3),Orange Bowl-L,
52,1971,Ind,8,2,0,0.8,,,,,16.6,6.5,1,1,13,Ara Parseghian (8-2),,
53,1970,Ind,10,1,0,0.909,,,,,26.32,10.41,6,1,2,Ara Parseghian (10-1),Cotton Bowl-W,
54,1969,Ind,8,2,1,0.773,,,,,18.91,6.37,11,5,5,Ara Parseghian (8-2-1),Cotton Bowl-L,
55,1968,Ind,7,2,1,0.75,,,,,18.66,4.56,3,2,5,Ara Parseghian (7-2-1),,
56,1967,Ind,8,2,0,0.8,,,,,19.56,5.66,1,1,5,Ara Parseghian (8-2),,
57,1966,Ind,9,0,1,0.95,,,,,26.02,5.62,6,1,1,Ara Parseghian (9-0-1),,
58,1965,Ind,7,2,1,0.75,,,,,23.87,10.37,3,1,9,Ara Parseghian (7-2-1),,
59,1964,Ind,9,1,0,0.9,,,,,27.33,8.83,,1,3,Ara Parseghian (9-1),,
60,1963,Ind,2,7,0,0.222,,,,,5.43,11.76,,,,Hugh Devore (2-7),,
61,1962,Ind,5,5,0,0.5,,,,,11.23,13.83,,,,Joe Kuharich (5-5),,
62,1961,Ind,5,5,0,0.5,,,,,8.87,9.97,,6,,Joe Kuharich (5-5),,
63,1960,Ind,2,8,0,0.2,,,,,2.51,9.81,17,12,,Joe Kuharich (2-8),,
64,1959,Ind,5,5,0,0.5,,,,,9.65,9.95,16,8,17,Joe Kuharich (5-5),,
65,1958,Ind,6,4,0,0.6,,,,,15.4,12,3,3,17,Terry Brennan (6-4),,
66,1957,Ind,7,3,0,0.7,,,,,16.29,10.39,18,5,10,Terry Brennan (7-3),,
67,1956,Ind,2,8,0,0.2,,,,,-1.25,10.46,3,3,,Terry Brennan (2-8),,
68,1955,Ind,8,2,0,0.8,,,,,15.86,6.46,6,4,9,Terry Brennan (8-2),,
69,1954,Ind,9,1,0,0.9,,,,,22.11,9.21,1,1,4,Terry Brennan (9-1),,
70,1953,Ind,9,0,1,0.95,,,,,24.36,9.06,1,1,2,Frank Leahy (9-0-1),,
71,1952,Ind,7,2,1,0.75,,,,,21.03,14.13,10,3,3,Frank Leahy (7-2-1),,
72,1951,Ind,7,2,1,0.75,,,,,15.7,6.2,14,5,,Frank Leahy (7-2-1),,
73,1950,Ind,4,4,1,0.5,,,,,4.45,5.23,1,1,,Frank Leahy (4-4-1),,
74,1949,Ind,10,0,0,1,,,,,32.35,11.95,,1,1,Frank Leahy (10-0),,
75,1948,Ind,9,0,1,0.95,,,,,23.89,7.09,,1,2,Frank Leahy (9-0-1),,
76,1947,Ind,9,0,0,1,,,,,28.31,7.97,,1,1,Frank Leahy (9-0),,
77,1946,Ind,8,0,1,0.944,,,,,32.88,12.44,,1,1,Frank Leahy (8-0-1),,
78,1945,Ind,7,2,1,0.75,,,,,18.76,8.46,,2,9,Hugh Devore (7-2-1),,
79,1944,Ind,8,2,0,0.8,,,,,24.7,13.3,,1,9,Ed McKeever (8-2),,
80,1943,Ind,9,1,0,0.9,,,,,34.77,16.17,,1,1,Frank Leahy (9-1),,
81,1942,Ind,7,2,2,0.727,,,,,17.88,10.79,,4,6,Frank Leahy (7-2-2),,
82,1941,Ind,8,0,1,0.944,,,,,18.39,5.28,,3,3,Frank Leahy (8-0-1),,
83,1940,Ind,7,2,0,0.778,,,,,10.15,2.71,,2,,Elmer Layden (7-2),,
84,1939,Ind,7,2,0,0.778,,,,,12.74,8.18,,2,13,Elmer Layden (7-2),,
85,1938,Ind,8,1,0,0.889,,,,,19.41,9.75,,1,5,Elmer Layden (8-1),,
86,1937,Ind,6,2,1,0.722,,,,,12.35,8.57,,9,9,Elmer Layden (6-2-1),,
87,1936,Ind,6,2,1,0.722,,,,,16.1,9.88,,7,8,Elmer Layden (6-2-1),,
88,1935,Ind,7,1,1,0.833,,,,,16.06,6.73,,,,Elmer Layden (7-1-1),,
89,1934,Ind,6,3,0,0.667,,,,,13.34,8.45,,,,Elmer Layden (6-3),,
90,1933,Ind,3,5,1,0.389,,,,,5.22,9.89,,,,Hunk Anderson (3-5-1),,
91,1932,Ind,7,2,0,0.778,,,,,19.21,5.99,,,,Hunk Anderson (7-2),,
92,1931,Ind,6,2,1,0.722,,,,,21.28,9.62,,,,Hunk Anderson (6-2-1),,
93,1930,Ind,10,0,0,1,,,,,29.23,11.63,,,,Knute Rockne (10-0),,
94,1929,Ind,9,0,0,1,,,,,19.73,7.17,,,,Knute Rockne (9-0),,
95,1928,Ind,5,4,0,0.556,,,,,7.41,8.3,,,,Knute Rockne (5-4),,
96,1927,Ind,7,1,1,0.833,,,,,19.45,8.45,,,,Knute Rockne (7-1-1),,
97,1926,Ind,9,1,0,0.9,,,,,18.54,6.54,,,,Knute Rockne (9-1),,
98,1925,Ind,7,2,1,0.75,,,,,10.82,2.92,,,,Knute Rockne (7-2-1),,
99,1924,Ind,10,0,0,1,,,,,23.21,4.81,,,,Knute Rockne (10-0),Rose Bowl-W,
100,1923,Ind,9,1,0,0.9,,,,,15.96,-1.64,,,,Knute Rockne (9-1),,
101,1922,Ind,8,1,1,0.85,,,,,16.26,0.16,,,,Knute Rockne (8-1-1),,
102,1921,Ind,10,1,0,0.909,,,,,15.48,-2.97,,,,Knute Rockne (10-1),,
103,1920,Ind,9,0,0,1,,,,,14.47,-4.42,,,,Knute Rockne (9-0),,
104,1919,Ind,9,0,0,1,,,,,9.77,-4.68,,,,Knute Rockne (9-0),,
105,1918,Ind,3,1,2,0.667,,,,,13.43,3.93,,,,Knute Rockne (3-1-2),,
106,1917,Ind,6,1,1,0.813,,,,,12.39,1.02,,,,Jesse Harper (6-1-1),,
107,1916,Ind,8,1,0,0.889,,,,,10.04,-7.18,,,,Jesse Harper (8-1),,
108,1915,Ind,7,1,0,0.875,,,,,15.66,-0.22,,,,Jesse Harper (7-1),,
109,1914,Ind,6,2,0,0.75,,,,,11.7,0.08,,,,Jesse Harper (6-2),,
110,1913,Ind,7,0,0,1,,,,,13.68,-4.32,,,,Jesse Harper (7-0),,
111,1905,Ind,5,4,0,0.556,,,,,4.01,-1.44,,,,Henry McGlew (5-4),,
112,1904,Ind,5,3,0,0.625,,,,,0.34,1.09,,,,Louis Salmon (5-3),,
113,1902,Ind,6,2,1,0.722,,,,,6.66,-2.01,,,,James Faragher (6-2-1),,
114,1901,Ind,8,1,1,0.85,,,,,7.13,-3.57,,,,Patrick O'Dea (8-1-1),,
115,1900,Ind,6,3,1,0.65,,,,,3.46,-3.74,,,,Patrick O'Dea (6-3-1),,
116,1899,Ind,6,3,1,0.65,,,,,5.59,-2.61,,,,James McWeeney (6-3-1),,
